epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,21462.6,0.89283,0.79276,1.13204,0.84345,0.71437,0.78489,0.43984,1.54487,0.92256,1.55275,0.000339364,0.000339364,0.000339364
55,21859,0.88231,0.78393,1.12727,0.88232,0.68067,0.77417,0.45046,1.46572,0.90237,1.49822,0.000332296,0.000332296,0.000332296
56,22259.6,0.88588,0.77229,1.12294,0.86491,0.69399,0.78623,0.45246,1.46312,0.89306,1.52191,0.000325227,0.000325227,0.000325227
57,22658.6,0.87645,0.77197,1.12412,0.87001,0.68256,0.77133,0.45831,1.39665,0.90508,1.46692,0.000318158,0.000318158,0.000318158
58,23058.2,0.88172,0.77258,1.12237,0.8673,0.70096,0.78556,0.45285,1.48708,0.91167,1.52176,0.00031109,0.00031109,0.00031109
59,23457.2,0.86789,0.76181,1.11533,0.89312,0.68901,0.78002,0.4613,1.4394,0.87966,1.49017,0.000304021,0.000304021,0.000304021
60,23856.8,0.86999,0.75625,1.11364,0.88022,0.69081,0.77168,0.45741,1.4645,0.89711,1.5182,0.000296953,0.000296953,0.000296953
61,24255.4,0.86709,0.751,1.11454,0.86466,0.70854,0.78837,0.46901,1.43436,0.85743,1.49293,0.000289884,0.000289884,0.000289884
62,24651.4,0.86314,0.75272,1.11155,0.88683,0.70433,0.7859,0.46392,1.44566,0.89178,1.52076,0.000282815,0.000282815,0.000282815
63,25049.9,0.85744,0.74621,1.11225,0.86251,0.71518,0.79291,0.46779,1.42896,0.87769,1.49458,0.000275747,0.000275747,0.000275747
64,25447.8,0.84774,0.74145,1.10958,0.88459,0.70499,0.78052,0.46331,1.44306,0.8726,1.51767,0.000268678,0.000268678,0.000268678
65,25847.1,0.85866,0.73621,1.10715,0.89941,0.70857,0.79121,0.44988,1.50295,0.87839,1.56597,0.00026161,0.00026161,0.00026161
66,26245,0.85292,0.73762,1.10697,0.89662,0.71374,0.79415,0.47311,1.41871,0.84362,1.48533,0.000254541,0.000254541,0.000254541
67,26644.4,0.84878,0.72587,1.1009,0.89112,0.70443,0.78878,0.47422,1.41962,0.84425,1.49282,0.000247472,0.000247472,0.000247472
68,27042.8,0.85457,0.73212,1.10343,0.86909,0.70118,0.77927,0.46478,1.43971,0.85754,1.47109,0.000240404,0.000240404,0.000240404
69,27440.8,0.84343,0.71853,1.09945,0.89779,0.69884,0.80198,0.46914,1.44389,0.84503,1.51158,0.000233335,0.000233335,0.000233335
70,27840.4,0.84156,0.72232,1.09643,0.88915,0.70403,0.79139,0.47611,1.38307,0.83544,1.46999,0.000226267,0.000226267,0.000226267
71,28237.6,0.83285,0.71637,1.09131,0.88363,0.71189,0.79271,0.46468,1.43659,0.83727,1.49244,0.000219198,0.000219198,0.000219198
72,28635.9,0.8358,0.71181,1.09858,0.88488,0.70573,0.78909,0.47514,1.37182,0.83368,1.46247,0.000212129,0.000212129,0.000212129
73,29033.2,0.82813,0.7101,1.09362,0.88897,0.71658,0.79058,0.4706,1.41077,0.83911,1.48672,0.000205061,0.000205061,0.000205061
74,29430.2,0.82563,0.7032,1.09209,0.90892,0.70622,0.80532,0.4763,1.42834,0.81313,1.50486,0.000197992,0.000197992,0.000197992
75,29827.8,0.82516,0.70051,1.08758,0.88185,0.71178,0.79143,0.48256,1.37585,0.79853,1.46207,0.000190924,0.000190924,0.000190924
76,30226.2,0.8213,0.69609,1.08824,0.88927,0.71229,0.78808,0.4662,1.44797,0.83441,1.5254,0.000183855,0.000183855,0.000183855
77,30625.1,0.82386,0.6944,1.08435,0.90376,0.70861,0.79875,0.47973,1.36702,0.81278,1.45171,0.000176786,0.000176786,0.000176786
78,31020.9,0.8124,0.69069,1.0824,0.88231,0.70688,0.79267,0.48397,1.37761,0.82615,1.46951,0.000169718,0.000169718,0.000169718
79,31419.5,0.81138,0.68162,1.07918,0.90075,0.70535,0.79675,0.4874,1.36271,0.80618,1.45551,0.000162649,0.000162649,0.000162649
80,31816.4,0.81441,0.68218,1.08146,0.87516,0.70445,0.7901,0.48397,1.35544,0.81168,1.45739,0.000155581,0.000155581,0.000155581
81,32212.7,0.80558,0.67918,1.07907,0.88165,0.70973,0.79696,0.48157,1.36282,0.80356,1.45872,0.000148512,0.000148512,0.000148512
82,32608.9,0.79732,0.67506,1.07386,0.87427,0.71436,0.79566,0.48125,1.37995,0.80815,1.4677,0.000141443,0.000141443,0.000141443
83,33007,0.80246,0.67744,1.07448,0.89796,0.70743,0.79132,0.48566,1.36244,0.79323,1.45034,0.000134375,0.000134375,0.000134375
84,33405.5,0.79902,0.67382,1.07266,0.85767,0.72695,0.79443,0.49167,1.3416,0.79577,1.45264,0.000127306,0.000127306,0.000127306
85,33803.7,0.79013,0.65886,1.06996,0.89835,0.71151,0.79911,0.488,1.34693,0.79109,1.43231,0.000120238,0.000120238,0.000120238
86,34202.2,0.79582,0.6675,1.07045,0.87286,0.72973,0.79812,0.48557,1.37816,0.78903,1.46296,0.000113169,0.000113169,0.000113169
87,34601.4,0.79725,0.66118,1.06727,0.90705,0.72463,0.80084,0.49412,1.34856,0.7755,1.43448,0.0001061,0.0001061,0.0001061
88,35002.5,0.78448,0.65852,1.06598,0.90464,0.72022,0.8087,0.49659,1.32237,0.77486,1.42674,9.90318e-05,9.90318e-05,9.90318e-05
89,35402,0.78394,0.65289,1.06374,0.9054,0.71953,0.80946,0.49286,1.33863,0.78595,1.43634,9.19632e-05,9.19632e-05,9.19632e-05
90,35802.7,0.78867,0.6558,1.06915,0.88124,0.73109,0.80461,0.48588,1.35368,0.80109,1.44535,8.48946e-05,8.48946e-05,8.48946e-05
91,36187.9,0.79725,0.59525,1.06726,0.88929,0.71354,0.79661,0.48046,1.34943,0.81694,1.44804,7.7826e-05,7.7826e-05,7.7826e-05
92,36573.1,0.78422,0.56925,1.05639,0.8797,0.71474,0.79361,0.48855,1.33089,0.80824,1.42615,7.07574e-05,7.07574e-05,7.07574e-05
93,36960.6,0.76819,0.55876,1.05294,0.90561,0.73113,0.80246,0.49333,1.32909,0.79546,1.43458,6.36888e-05,6.36888e-05,6.36888e-05
94,37345.3,0.76098,0.55625,1.04673,0.90326,0.72011,0.80355,0.49423,1.33404,0.78828,1.44432,5.66202e-05,5.66202e-05,5.66202e-05
95,37730.3,0.76212,0.55138,1.04993,0.91007,0.71923,0.80564,0.49369,1.33828,0.7874,1.44099,4.95516e-05,4.95516e-05,4.95516e-05
96,38116.5,0.76027,0.55197,1.04581,0.89157,0.7232,0.801,0.50107,1.31342,0.78514,1.41549,4.2483e-05,4.2483e-05,4.2483e-05
97,38503.5,0.75516,0.55007,1.04308,0.89037,0.73421,0.80955,0.50518,1.31511,0.77884,1.41976,3.54144e-05,3.54144e-05,3.54144e-05
98,38889.6,0.7493,0.54274,1.04214,0.903,0.72899,0.80863,0.50003,1.32405,0.77349,1.42527,2.83458e-05,2.83458e-05,2.83458e-05
99,39275.7,0.74728,0.5415,1.04217,0.90803,0.72541,0.80561,0.50192,1.31916,0.77101,1.42376,2.12772e-05,2.12772e-05,2.12772e-05
100,39661.6,0.74701,0.53819,1.04093,0.89744,0.73429,0.80615,0.50081,1.31753,0.77485,1.42285,1.42086e-05,1.42086e-05,1.42086e-05
